state,ST,Interviewer,Standards,Interviewed,InterviewDate,Q0,Q0a,Q1,Q2b,Q4di,Q4d,Q3,Q4b,Q4c,Q5,Q6,Q7,Q8,Q9,Q9c,Q9d,Q3b,Q3c,Q4a,Q9a,StatePopEst,IPVTotPERC,IPVTotN,FemIPVVPERC,FemIPVVN,MaleIPVVPERC,MaleIPVVN,PoliticalID,PoliticalIDFactor,WELLBEING,YESLGBTperc,YESLGBTn,NOLGBTperc,NOLGBTn,NinterviewedLGBT,GEOverall,GEWorkplace,GEEducationHealth,GEPoliticalEmpowerment,N
Alabama,AL,Eric,2,2,42359,2,1,2006,2006,2005,2,7,2,2,2,2,2,1,2,1,1,1,1,1,2,4849377,57.9,1041000,31,582000,26.9,459000,1,"MOSTLY	CONSERVATIVE",60.3,0.028,100.884,0.925,3332.775,3603,26,31,4,38,1
Alaska,AK,Rachel,2,2,42184,2,1,1998,1998,1998,2,0,2,2,2,2,2,2,2,2,2,1,9,5,2,736732,69.2,176000,44.2,109000,25,67000,3,AVERAGE,64.7,0.034,20.842,0.938,574.994,613,18,13,28,7,2
Arizona,AZ,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6731484,63.6,1548000,36.5,891000,27.1,657000,3,AVERAGE,62.2,0.039,186.927,0.928,4447.904,4793,16,7,48,9,3
Arkansas,AR,Eric,0,0,42027,0,0,2017,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2966369,72.9,795000,37.3,420000,35.6,375000,1,"MOSTLY	CONSERVATIVE",60,0.035,86.275,0.931,2294.915,2465,44,42,17,46,4
California,CA,Rachel,2,2,41900,2,1,1986,1986,1986,2,0,2,2,2,1,1,2,1,1,1,1,2,2,1,38802500,60.2,8300000,32.9,4563000,27.3,3737000,4,"MORE	LIBERAL",62.8,0.04,745.44,0.919,17126.484,18636,12,10,42,5,5
Colorado,CO,Rachel,2,2,41876,2,2,2000,1986,1999,2,19,1,2,2,2,2,1,2,2,2,5,8,4,2,5355866,61.3,1163000,32.7,618000,28.6,545000,3,AVERAGE,63.2,0.032,140.8,0.932,4100.8,4400,28,20,46,16,6
Connecticut,CT,Rachel,2,2,42111,2,2,2004,2004,2004,2,2,2,2,1,1,2,2,2,2,2,5,9,5,3,3596677,66.8,904000,32.9,462000,33.9,442000,4,"MORE	LIBERAL",61.9,0.034,78.404,0.935,2156.11,2306,25,21,36,9,7
Delaware,DE,Rachel,2,2,42221,2,2,2000,1999,1999,2,11,1,2,2,1,2,2,2,1,2,6,5,5,2,935614,71.7,243000,34.9,124000,36.8,119000,4,"MORE	LIBERAL",61.1,0.034,22.712,0.929,620.572,668,6,4,28,26,8
District of Columbia,DC,Kate,2,2,42436,2,2,1991,1997,1994,2,11,2,2,2,2,2,2,2,2,2,2,6,6,5,658893,60,295000,35.6,240000,24.4,55000,3,AVERAGE,NA,0.1,49.3,0.88,433.84,493,NA,NA,NA,NA,9
Florida,FL,Kate,2,2,42118,2,1,1996,1995,1996,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,19893297,58.8,4277000,34.2,2546000,24.6,1731000,3,AVERAGE,61.9,0.035,395.01,0.099,1117.314,11286,9,2,40,23,10
Georgia,GA,Kate,2,2,42139,2,1,2002,2002,2002,2,0,2,2,2,2,2,2,1,1,1,1,6,4,1,10097343,75,2711000,35.1,1310000,39.9,1401000,2,"MORE	CONSERVATIVE",61.6,0.035,216.195,0.921,5689.017,6177,38,45,9,40,11
Hawaii,HI,Rachel,2,2,42136,2,2,1995,1995,1989,2,1,1,2,2,2,2,2,2,2,2,1,1,6,2,1419561,57.5,289000,35.7,179000,21.8,110000,5,"MOSTLY	LIBERAL",64.5,0.051,32.793,0.917,589.631,643,1,3,6,2,12
Idaho,ID,Rachel,2,2,42052,2,2,2008,1999,1999,2,6,2,2,1,2,2,2,2,1,2,6,6,3,2,1634464,62.6,353000,29.3,166000,33.3,187000,1,"MOSTLY	CONSERVATIVE",61.9,0.027,42.714,0.944,1493.408,1582,48,49,49,28,13
Illinois,IL,Rachel,2,2,42048,2,2,1997,1996,1997,2,15,2,2,2,2,2,2,2,2,2,7,2,3,2,12880580,63.4,3097000,37.7,1882000,25.7,1215000,4,"MORE	LIBERAL",61.1,0.038,267.444,0.92,6474.96,7038,14,16,21,13,14
Indiana,IN,Kate,2,2,42072,2,2,2001,2001,2010,2,15,2,2,2,2,2,1,2,1,2,5,2,6,2,6596855,67.2,1632000,40.4,1001000,26.8,631000,3,AVERAGE,60,0.037,183.039,0.919,4546.293,4947,46,48,24,30,15
Iowa,IA,Eric,2,2,42152,2,1,2000,1991,1990,2,0,1,1,2,1,1,2,2,2,2,6,6,2,2,3107126,50.9,587000,31.3,368000,19.6,219000,3,AVERAGE,62.2,0.028,75.376,0.934,2514.328,2692,32,39,13,38,16
Kansas,KS,Kate,2,2,42305,2,2,2008,2011,2012,2,12,2,2,2,1,2,2,2,1,2,5,8,4,2,2904021,52,551000,29,312000,23,239000,3,AVERAGE,61.2,0.037,80.438,0.936,2034.864,2174,32,33,36,22,17
Kentucky,KY,Rachel,2,2,42040,2,1,1999,1999,1999,2,0,2,2,1,1,2,2,2,1,2,1,9,2,2,4413457,68.5,1133000,37.5,638000,31,495000,2,"MORE	CONSERVATIVE",59.8,0.039,133.185,0.928,3169.12,3415,24,21,3,42,18
Louisiana,LA,Rachel,2,2,42214,2,1,2015,1997,2015,1,0,1,1,2,1,2,2,2,2,1,1,9,2,2,4649676,61.8,1043000,33.4,586000,28.4,457000,1,"MOSTLY	CONSERVATIVE",60.9,0.032,92.416,0.904,2610.752,2888,40,47,4,41,19
Maine,ME,Rachel,2,2,42116,2,1,1998,1998,1998,2,0,2,2,2,1,1,2,2,1,1,4,8,8,4,1330089,63.3,334000,36.6,199000,26.7,135000,3,AVERAGE,62.4,0.048,61.728,0.911,1171.546,1286,4,12,7,6,20
Maryland,MD,Sylvia,2,2,42103,2,2,1997,2003,1997,2,12,2,2,2,2,1,2,2,1,2,5,8,3,2,5976407,69.3,1520000,42.1,957000,27.2,563000,4,"MORE	LIBERAL",61.7,0.033,138.435,0.93,3901.35,4195,3,8,19,11,21
Massachusetts,MA,Sylvia,2,2,42117,2,2,1991,1991,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,6745408,50.9,1325000,31.7,851000,19.2,474000,5,"MOSTLY	LIBERAL",62.2,0.044,187.132,0.913,3882.989,4253,13,15,22,15,22
Michigan,MI,Eric,2,2,42164,2,2,2009,1998,2009,2,3,1,1,2,2,2,1,1,1,1,1,2,5,1,9909877,64.8,2488000,41.8,1638000,23,850000,3,AVERAGE,60.7,0.038,224.694,0.921,5445.873,5913,36,38,26,30,23
Minnesota,MN,Eric,2,2,42416,1,2,2000,2001,2017,1,50,1,1,1,1,1,1,1,1,1,8,8,1,1,5457173,57.2,1149000,33.7,684000,23.5,465000,3,AVERAGE,62.8,0.029,126.585,0.934,4076.91,4365,7,14,28,4,24
Mississippi,MS,Sylvia,1,0,42122,0,0,2017,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2994079,65.9,728000,40.1,460000,25.8,268000,1,"MOSTLY	CONSERVATIVE",60.2,0.026,50.986,0.925,1813.925,1961,35,45,1,44,25
Missouri,MO,Rachel,2,2,42163,2,1,2015,2015,2015,2,0,2,2,1,1,1,2,2,1,2,5,8,5,2,6063589,76.5,1740000,36.1,854000,40.4,886000,2,"MORE	CONSERVATIVE",60.8,0.033,139.227,0.925,3902.575,4219,19,18,24,12,26
Montana,MT,Eric,0,0,42058,0,0,2017,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023579,71.8,271000,39.2,149000,32.6,122000,2,"MORE	CONSERVATIVE",63.7,0.026,34.554,0.948,1259.892,1329,37,23,46,21,27
Nebraska,NE,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1881503,64.6,435000,38.5,263000,26.1,172000,2,"MORE	CONSERVATIVE",63.1,0.027,42.984,0.929,1478.968,1592,40,37,35,30,28
Nevada,NV,Rachel,2,2,42321,2,2,1998,1997,1998,2,8,1,2,2,1,1,2,2,1,2,6,6,4,2,2839099,79,772000,48.1,465000,30.9,307000,3,AVERAGE,61.5,0.042,62.706,0.922,1376.546,1493,5,1,41,16,29
New Hampshire,NH,Kate,2,2,42408,1,1,2017,2002,2017,1,8,1,1,2,2,2,1,1,2,2,1,1,1,2,1326813,78.2,405000,40.4,214000,37.8,191000,3,AVERAGE,62.2,0.037,37.333,0.907,915.163,1009,16,30,27,1,30
New Jersey,NJ,Rachel,2,2,42135,1,1,2017,2006,2017,1,0,1,1,2,1,2,1,1,2,2,1,1,1,2,8938175,55.5,1846000,26.2,902000,29.3,944000,4,"MORE	LIBERAL",61.2,0.037,184.963,0.913,4564.087,4999,34,36,33,25,31
New Mexico,NM,Eric,2,2,42437,2,1,2005,2012,2009,2,2,2,2,2,1,2,1,1,1,1,1,9,5,2,2085572,63.5,477000,34.4,263000,29.1,214000,3,AVERAGE,62.8,0.029,53.969,0.931,1732.591,1861,8,6,38,13,32
New York,NY,Eric,1,0,42250,0,0,2017,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19746227,65.8,4967000,32.3,2544000,33.5,2423000,4,"MORE	LIBERAL",61.2,0.038,376.846,0.912,9044.304,9917,2,4,17,18,33
North Carolina,NC,Rachel,2,2,41935,2,2,1995,2000,1995,2,35,1,2,2,1,2,2,2,2,2,6,6,6,2,9943964,63.2,2275000,43.9,1615000,19.3,660000,3,AVERAGE,62.2,0.033,236.775,0.918,6586.65,7175,22,27,9,24,34
North Dakota,ND,Kate,2,2,42186,2,2,1996,1997,1995,1,3,1,1,2,2,1,1,2,1,1,1,6,1,2,739482,51.4,130000,25.3,64000,26.1,66000,1,"MOSTLY	CONSERVATIVE",62.1,0.017,10.455,0.937,576.255,615,21,26,2,33,35
Ohio,OH,Sylvia,2,2,42136,1,2,2017,1991,2017,1,11,1,1,2,1,1,2,1,1,2,6,1,1,2,11594163,65.6,2903000,35.6,1629000,30,1274000,3,AVERAGE,60.1,0.036,271.548,0.925,6977.275,7543,38,41,32,28,36
Oklahoma,OK,Rachel,2,2,42111,2,2,2005,2005,2005,2,12,2,2,2,2,2,2,2,2,2,5,9,3,5,3878051,89.8,1247000,49.1,697000,40.7,550000,1,"MOSTLY	CONSERVATIVE",61,0.034,104.04,0.921,2818.26,3060,45,32,28,48,37
Oregon,OR,Sylvia,2,2,42052,1,2,2006,2006,2017,1,12,1,1,2,2,2,1,1,2,2,7,7,1,2,3970239,70.9,1048000,37.3,561000,33.6,487000,4,"MORE	LIBERAL",61.8,0.049,179.095,0.921,3366.255,3655,31,23,42,19,38
Pennsylvania,PA,Sylvia,2,2,42159,1,2,2013,1992,1992,2,30,1,1,2,2,1,1,1,1,1,1,1,2,2,12787209,65.2,3225000,37.7,1927000,27.5,1298000,3,AVERAGE,61.2,0.027,262.332,0.928,9016.448,9716,42,39,23,42,39
Rhode Island,RI,Rachel,2,2,42068,2,2,1998,1988,1998,2,13,2,2,2,2,2,2,2,1,2,7,2,4,2,1055173,49.2,205000,29.9,129000,19.3,76000,4,"MORE	LIBERAL",61.1,0.045,33.075,0.892,655.62,735,10,9,16,34,40
South Carolina,SC,Rachel,2,2,42167,2,2,2005,2005,2005,2,1,2,2,2,1,1,2,1,1,1,1,1,5,1,4832482,58.9,1042000,41.5,752000,17.4,290000,1,"MOSTLY	CONSERVATIVE",62.2,0.029,97.73,0.931,3137.47,3370,30,27,7,49,41
South Dakota,SD,Eric,0,0,42047,0,0,2017,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853175,63.9,196000,33.7,104000,30.2,92000,2,"MORE	CONSERVATIVE",64.4,0.044,31.768,0.921,664.962,722,23,23,11,36,42
Tennessee,TN,Rachel,2,2,42109,2,2,1999,1999,1999,2,23,2,1,1,1,2,1,1,1,1,6,6,4,2,6549352,72.5,1747000,40,997000,32.5,750000,1,"MOSTLY	CONSERVATIVE",60.6,0.026,127.114,0.93,4546.77,4889,20,11,12,37,43
Texas,TX,Kate,2,2,42207,2,2,1995,1995,2009,2,15,2,2,2,2,2,1,2,2,2,1,4,4,2,26956958,69.6,6220000,34.5,3116000,35.1,3104000,2,"MORE	CONSERVATIVE",62.8,0.033,439.362,0.924,12302.136,13314,47,43,39,27,44
Utah,UT,Kate,2,2,42115,2,2,1995,1995,1990,2,10,2,2,2,1,2,2,1,2,2,2,1,5,2,2942902,56.5,542000,36.9,355000,19.6,187000,1,"MOSTLY	CONSERVATIVE",62.9,0.027,73.602,0.941,2565.166,2726,49,44,50,47,45
Vermont,VT,Kate,2,2,42118,2,2,2001,2005,2005,2,8,2,2,2,1,2,2,2,1,2,6,6,4,3,626562,62.1,264000,33.6,85000,28.5,179000,5,"MOSTLY	LIBERAL",62.7,0.049,32.536,0.933,619.512,664,11,19,14,8,46
Virginia,VA,Kate,2,2,42208,2,2,2000,2000,2000,2,14,2,2,2,1,1,1,2,2,2,2,7,5,2,8326289,53.4,1618000,31.3,971000,22.1,647000,3,AVERAGE,62.4,0.029,183.367,0.927,5861.421,6323,43,29,34,45,47
Washington,WA,Kate,2,2,42131,2,2,1993,1993,1993,2,14,2,2,2,2,2,2,2,2,2,1,1,4,2,7061530,70.9,1810000,42.6,1094000,28.3,716000,4,"MORE	LIBERAL",61.8,0.04,239.6,0.926,5546.74,5990,27,33,45,3,48
West Virginia,WV,Rachel,2,2,42158,2,2,2003,2003,2003,2,5,2,2,2,2,2,2,2,2,2,5,8,2,2,1850326,74.8,535000,33.6,249000,41.2,286000,2,"MORE	CONSERVATIVE",59,0.031,43.71,0.925,1304.25,1410,29,35,20,34,49
Wisconsin,WI,Rachel,2,2,42186,2,2,1997,1997,1997,2,9,2,2,2,1,1,1,2,1,2,6,2,2,2,5757564,55.4,1206000,32.4,714000,23,492000,3,AVERAGE,62.2,0.028,129.724,0.929,4304.057,4633,15,16,14,19,50
Wyoming,WY,Kate,2,2,42352,2,2,2009,2009,2009,2,6,2,2,1,1,2,1,2,2,2,7,7,1,2,584153,71.6,148000,35.8,73000,35.8,75000,1,"MOSTLY	CONSERVATIVE",63.9,0.029,21.315,0.937,688.695,735,50,50,44,49,51
